,t,x,y,z
,0,0,0,0
,,,,
0,0.0,1.0,1.5,2.0
1,0.01,1.04758125,1.74377704167,1.96217326486
2,0.02,1.11383298202,1.99783214168,1.92856621149
3,0.03,1.19795655206,2.2668962326,1.89977586992
4,0.04,1.29967952441,2.5554490301,1.87658223499
5,0.05,1.41918168999,2.86784803684,1.85997510247
6,0.06,1.55704040122,3.20843537621,1.85119335109
7,0.07,1.71419127553,3.58162631628,1.85177701337
8,0.08,1.8919010626,3.99198197558,1.86363343064
9,0.09,2.09175001248,4.44426736874,1.88911956309
10,0.1,2.31562144539,4.94349456259,1.93114319906
11,0.11,2.56569642091,5.49494916866,1.99328640842
12,0.12,2.84445143552,6.10419658018,2.07995509956
13,0.13,3.15465693285,6.77706213336,2.19655890975
14,0.14,3.49937406774,7.51957657685,2.34972576409
15,0.15,3.88194658901,8.33787469296,2.54755507504
16,0.16,4.30598384721,9.23803044469,2.79991239558
17,0.17,4.77532973154,10.2258064577,3.11876588771
18,0.18,5.294010723,11.306288898,3.51856048583
19,0.19,5.86615414482,12.4833709645,4.01661806875
20,0.2,6.49586504043,13.7590397498,4.63353985249
21,0.21,7.18704690371,15.1324132538,5.39356868353
22,0.22,7.943147829,16.5984691682,6.32484166058
23,0.23,8.76680984594,18.1464087839,7.45942514127
24,0.24,9.65939592988,19.757614884,8.83297291872
25,0.25,10.6203676911,21.4032023366,10.4837845683
26,0.26,11.646489193,23.0412392441,12.4509700449
27,0.27,12.7308420948,24.6138535973,14.7713635227
28,0.28,13.8616591769,26.0446539743,17.4748052273
29,0.29,15.0210234193,27.2371914489,20.5774787355
30,0.3,16.1835445094,28.0755523795,24.0732336416
31,0.31,17.3152177084,28.428516121,27.9233373755
32,0.32,18.3727869685,28.158858056,32.0459618581
33,0.33,19.3040539584,27.1390297038,36.3078915749
34,0.34,20.0496498378,25.273239659,40.5221738894
35,0.35,20.5467397041,22.5236491393,44.4560932466
36,0.36,20.7348673483,18.9352240852,47.8529798565
37,0.37,20.5636087962,14.6508761308,50.4680711284
38,0.38,20.000938374,9.90791517074,52.1129752149
39,0.39,19.0404610534,5.01058319266,52.6971482891
40,0.4,17.7053428015,0.281749638466,52.2518922768
41,0.41,16.0472701171,-3.99350083638,50.9261483748
42,0.42,14.1401402512,-7.61442168114,48.9536862736
43,0.43,12.0699217514,-10.4867484653,46.6030459117
44,0.44,9.92337262186,-12.6165693751,44.1277069025
45,0.45,7.77841539157,-14.0834571843,41.7310759709
46,0.46,5.69798494258,-15.0060543383,39.5519614776
47,0.47,3.72773680451,-15.5116862128,37.6674384442
48,0.48,1.89686521163,-15.7159214231,36.1056549191
